"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
487073634;"23/01/2011";1;;;271;2;;1;3.14;100535;"23/01/2011";1;SP;NOVE DE JULHO;CENTRO;SALTO;"13320005"
487073635;"23/01/2011";1;;;110;2;;5;46.45;59106;"23/01/2011";0;RJ;VINTE E OITO DE SETEMBRO;VL ISABEL;RIO DE JANEIRO;"20551031"
487073636;"23/01/2011";1;;;290;2;;1;35.83;79902;"23/01/2011";1;SP;SANTA RITA;VL STA RITA;SÃO ROQUE;"18130675"
487073637;"23/01/2011";1;;;123;2;;1;108.73;54105;"23/01/2011";0;MG;PRUDENTE DE MORAIS;C JARDIM;BELO HORIZONTE;"30380000"
487073638;"23/01/2011";1;;;266;2;;1;11.17;50422;"23/01/2011";0;SP;AVENIDA RENATA;CH BELENZINHO;SÃO PAULO;"03377000"
487073640;"23/01/2011";1;;;286;2;;1;13.01;43521;"23/01/2011";0;SP;IACANGA;VL MOLON;AMERICANA;"13468590"
487073641;"23/01/2011";1;;;304;2;;6;4.4;57979;"17/02/2011";1;SP;DAS CAMELIAS;CH PRIMAVERA;CAMPINAS;"13087488"
487073642;"23/01/2011";1;;;352;2;;4;51.79;5188;"23/01/2011";0;SP;SETE DE SETEMBRO;CENTRO;ARARAQUARA;"14800390"
487073643;"23/01/2011";1;;;153;2;;1;1.42;231411;"23/01/2011";1;SP;AVENIDA LUIZ DUMONT VILLARES;JD S PAULO (Z NORTE);SÃO PAULO;"02085000"
487073644;"23/01/2011";1;;;152;2;;4;59.76;248124;"23/01/2011";0;SP;RUA QUINZE DE NOVEMBRO;CENTRO;INDAIATUBA;"13330070"
487073646;"23/01/2011";1;;;271;2;;1;18.6;100536;"23/01/2011";1;SP;NOVE DE JULHO;CENTRO;SALTO;"13320005"
487073648;"23/01/2011";1;;;74;2;;1;0.93;170147;"23/01/2011";0;SP;CAPITAO GABRIEL;CENTRO;GUARULHOS;"07011010"
487073649;"23/01/2011";1;;;123;2;;1;26.37;54106;"23/01/2011";0;MG;PRUDENTE DE MORAIS;C JARDIM;BELO HORIZONTE;"30380000"
487073651;"23/01/2011";1;;;286;2;;1;10.2;43522;"23/01/2011";0;SP;IACANGA;VL MOLON;AMERICANA;"13468590"
487073654;"23/01/2011";1;;;123;2;;5;127.55;56938;"28/01/2011";0;MG;PRUDENTE DE MORAIS;C JARDIM;BELO HORIZONTE;"30380000"
487073655;"23/01/2011";1;;;266;2;;1;32.16;50423;"23/01/2011";0;SP;AVENIDA RENATA;CH BELENZINHO;SÃO PAULO;"03377000"
487073656;"23/01/2011";1;;;263;2;;4;33.59;26935;"23/01/2011";1;SP;SANTA INES;PRQ MANDAQUI;SÃO PAULO;"02415001"
487073658;"23/01/2011";1;;;305;2;;2;133.7;60703;"23/01/2011";1;SP;DOUTOR ANISIO JOSE MOREIRA;CENTRO;MIRASSOL;"15130000"
487073659;"23/01/2011";1;;;74;2;;4;49.33;22518;"23/01/2011";0;SP;CAPITAO GABRIEL;CENTRO;GUARULHOS;"07011010"
487073660;"23/01/2011";1;;;16;2;;6;38.12;93014;"23/01/2011";1;SP;R. FLORIANO PEIXOTO;CENTRO;ITU;"13300000"
487073661;"23/01/2011";1;;;264;2;;5;48.48;109077;"23/01/2011";0;SP;AVENIDA SALGADO FILHO;CENTRO;GUARULHOS;"07115000"
487073663;"23/01/2011";1;;;152;2;;5;20.73;248125;"23/01/2011";0;SP;RUA QUINZE DE NOVEMBRO;CENTRO;INDAIATUBA;"13330070"
487073664;"23/01/2011";1;;;174;2;;1;12.33;116014;"23/01/2011";1;SP;RUA ELEONORA CINTRA;JD A FRANCO;SÃO PAULO;"03337000"
487073667;"23/01/2011";1;;;169;2;;1;1.22;131457;"23/01/2011";0;SP;DONA JOANA DE GUSMAO;JD GUANABARA;CAMPINAS;"13073370"
487073668;"23/01/2011";1;;;298;2;;5;40.26;26352;"23/01/2011";0;SP;RUA 14;VL RÁDIO;RIO CLARO;"13500270"
487073669;"23/01/2011";1;;;174;2;;5;45.06;63495;"23/01/2011";1;SP;RUA ELEONORA CINTRA;JD A FRANCO;SÃO PAULO;"03337000"
487073670;"23/01/2011";1;;;209;2;;1;1.24;48758;"23/01/2011";0;SP;LEONCIO DE MAGALHAES;JD S PAULO (Z NORTE);SÃO PAULO;"02042001"
487073675;"23/01/2011";1;;;157;2;;1;7.67;231850;"23/01/2011";0;SP;RUA CORONEL TEÓFILO LEME;CENTRO;BRAGANÇA PAULISTA;"12900002"
487073677;"23/01/2011";1;;;241;2;;1;7.65;128321;"23/01/2011";1;SP;CORIOLANO;VL ROMANA;SÃO PAULO;"05047001"
487073678;"23/01/2011";1;;;116;2;;5;33.15;83341;"23/01/2011";0;MG;ANDRE CAVALCANTI;GUTIERREZ;BELO HORIZONTE;"30430110"
487073680;"23/01/2011";1;;;245;2;;5;22.9;171627;"23/01/2011";1;SP;MAJOR NOVAES;CENTRO;CRUZEIRO;"12701330"
487073681;"23/01/2011";1;;;354;2;;5;27.85;4517;"23/01/2011";0;SP;DOUTOR CARLOS BOTELHO;CENTRO;SÃO CARLOS;"13560250"
487073682;"23/01/2011";1;;;264;2;;4;38.97;109078;"23/01/2011";0;SP;AVENIDA SALGADO FILHO;CENTRO;GUARULHOS;"07115000"
487073685;"23/01/2011";1;;;209;2;;5;16.46;175131;"23/01/2011";0;SP;LEONCIO DE MAGALHAES;JD S PAULO (Z NORTE);SÃO PAULO;"02042001"
487073691;"23/01/2011";1;;;251;2;;1;8.07;104642;"23/01/2011";1;SP;AVENIDA REBOUÇAS;CENTRO;SUMARÉ;"13170023"
487073694;"23/01/2011";1;;;95;2;;5;21.59;202623;"23/01/2011";0;RJ;AV MIN VIVEIRO DE CASTRO;COPACABANA;RIO DE JANEIRO;"22021010"
487073696;"23/01/2011";1;;;116;2;;1;3.59;83342;"23/01/2011";0;MG;ANDRE CAVALCANTI;GUTIERREZ;BELO HORIZONTE;"30430110"
